Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
Omega Controls,,"Van Buren, AR, United States",http://www.omegacontrols.net/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Water/Wastewater",Gold Integrator,"Manufacturing,General Automation,Water/Wastewater","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Omega Controls is a Troy, Michigan-based integrator specializing in industrial automation and SCADA systems. They provide PLC programming and custom SCADA solutions, with a focus on certified Ignition development and tailored factory automation projects.",
COMCO Controls,,"Ida Grove, IA, United States",http://www.comco-controls.com/,"Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards","Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards",,"COMCO Controls is a Saskatoon, Saskatchewan-based integrator specializing in feed and grain as well as material handling industries. They provide control systems integration and engineering services, with a focus on custom automation solutions and 24/7 support for industrial operations.",
"Hargrove Controls & Automation, LLC",,"Mobile, Alabama",http://www.hargrove-ca.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT,Alarm Management","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Oil & Gas,Energy & Utilities,Water/Wastewater,Manufacturing",Gold Integrator,"Oil & Gas,Energy & Utilities,Water/Wastewater,Manufacturing","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT,Alarm Management","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Alarm Management, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Alarm Management",,"Hargrove Controls & Automation, LLC is a Mobile, Alabama-based integrator specializing in the chemicals and refining industries. They provide system integration and process safety services, with a focus on turnkey automation solutions across the entire project lifecycle.",
Coperion Process Solutions LLC,,"Sabetha, KS, United States",https://www.schenckprocess.com/us,Systems Integration,"OPC UA,Modbus TCP,MQTT","Food & Beverage,Manufacturing,Mining & Metals",Gold Integrator,"Food & Beverage,Manufacturing,Mining & Metals",Systems Integration,"Systems Integration, Systems Integration",,"Coperion Process Solutions LLC is a Kansas City, Missouri-based integrator specializing in bulk material handling and process automation for the food and chemical industries. They provide engineering design and turnkey system integration, with a focus on customized solutions for complex material processing requirements.",
Olsson,,"Omaha, NE, United States",https://www.olsson.com/,Systems Integration,"OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Transportation,Government",Gold Integrator,"Water/Wastewater,Energy & Utilities,Transportation,Government",Systems Integration,"Systems Integration, Systems Integration",,"Olsson is a Lincoln, Nebraska-based integrator specializing in civil infrastructure and data centers. They provide engineering design and consulting services, with a focus on integrated solutions for complex community and industrial projects.",
Ethos Integration,,"Papillion, NE, United States",http://ethos-int.io/,"Cloud / IIoT,Systems Integration,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","General Automation,Manufacturing,Energy & Utilities,Water/Wastewater",Gold Integrator,"General Automation,Manufacturing,Energy & Utilities,Water/Wastewater","Systems Integration,Data Visualization / Dashboards","Cloud / IIoT, Systems Integration, Data Visualization / Dashboards, Systems Integration, Data Visualization / Dashboards",,"Ethos Integration is a Papillion, Nebraska-based integrator specializing in industrial automation and manufacturing. They provide controls engineering and robotics automation services, with a focus on seamless multi-vendor system integration and advanced SCADA solutions.",
"Interstates, Inc.",,"Sioux Center, Iowa",http://www.interstates.com/locations/omaha-ne,"MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Food & Beverage,Manufacturing,Water/Wastewater",Gold Integrator,"Food & Beverage,Manufacturing,Water/Wastewater","Systems Integration,PLC Programming,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,SCADA Security,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, SCADA Security, Cloud / IIoT",,"Interstates, Inc. is a Sioux Center, Iowa-based integrator specializing in food & beverage and value-added agriculture industries. They provide electrical engineering & construction and industrial automation services, with a focus on custom industrial control panels and advanced prefabricated manufacturing solutions.",
"Revere Control Systems, Inc.",,"Texarkana, TX, United States",http://www.reverecontrol.com/,"Systems Integration,PLC Programming,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,DNP3","Water/Wastewater,Energy & Utilities,Manufacturing,Oil & Gas",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,Oil & Gas","Systems Integration,PLC Programming,Migration & Upgrades","Systems Integration, PLC Programming, Migration & Upgrades, Systems Integration, PLC Programming, Migration & Upgrades",,"Revere Control Systems, Inc. is a Hoover, Alabama-based integrator specializing in water/wastewater and oil & gas industries. They provide automation engineering and electrical, instrumentation & controls (EI&C) services, with a focus on turnkey project management for complex industrial operations.",
"Huffman Engineering, Inc.",,"Lincoln, NE, United States",http://huffmaneng.com/,"Systems Integration,PLC Programming,Migration & Upgrades,HMI Design","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3","Water/Wastewater,Life Sciences,Food & Beverage,Manufacturing",Gold Integrator,"Water/Wastewater,Life Sciences,Food & Beverage,Manufacturing","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design","Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design",,"Huffman Engineering, Inc. is a Lincoln, Nebraska-based integrator specializing in pharmaceuticals/life sciences and water/wastewater industries. They provide automation and control system integration and compliance solutions, with a focus on regulatory-driven project execution and lifecycle documentation.",
APQ Engineering,,"Menahga, MN, United States",http://www.apqengineering.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,HMI Design","OPC UA,Modbus TCP,MQTT","Manufacturing,Water/Wastewater,Food & Beverage",Gold Integrator,"Manufacturing,Water/Wastewater,Food & Beverage","Systems Integration,PLC Programming,Migration & Upgrades,MES Systems,HMI Design","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Systems Integration, PLC Programming, Migration & Upgrades, MES Systems, HMI Design",,"APQ Engineering is a Menahga, Minnesota-based integrator specializing in industrial manufacturing and process control systems. They provide control panel design and PLC programming, with a focus on custom-fit automation solutions for complex operational challenges.",
Southern Integrated Solutions and Consulting LLC,,"Broussard, LA, United States",http://www.southernisc.com/,"Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades","Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades",,"Southern Integrated Solutions and Consulting LLC is a Houston, Texas-based integrator specializing in energy and infrastructure industries. They provide SCADA and automation solutions, with a focus on end-to-end instrumentation, electrical, and control system integration for complex industrial environments.",
Scada Integrators & Service LLC,,"Broussard, LA, United States",http://www.scadaintegrators.com/,"Systems Integration,PLC Programming","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Gold Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming","Systems Integration, PLC Programming, Systems Integration, PLC Programming",,"Scada Integrators & Service LLC is a Louisiana-based integrator specializing in industrial automation and measurement systems. They provide system integration and 24/7 troubleshooting services, with a focus on advanced communications solutions for remote and hard-to-reach locations.",
Techneaux Technology Services,,"Lafayette, LA, United States",https://techneaux.com/,"Enterprise,Systems Integration,PLC Programming,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,DNP3","Oil & Gas,Water/Wastewater,Manufacturing",Gold Integrator,"Oil & Gas,Water/Wastewater,Manufacturing","Systems Integration,PLC Programming,Cloud / IIoT,Data Visualization / Dashboards,Migration & Upgrades","Enterprise, Systems Integration, PLC Programming, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades, Systems Integration, PLC Programming, Cloud / IIoT, Data Visualization / Dashboards, Migration & Upgrades",,"Techneaux Technology Services is a Lafayette, Louisiana-based integrator specializing in oil & gas and utilities industries. They provide industrial control systems and managed IT services, with a focus on integrating IT and OT environments for secure, scalable operations.",
Failsafe Controls,,"New Iberia, LA, United States",http://www.failsafecontrols.com/,"Systems Integration,PLC Programming,HMI Design","OPC UA,Modbus TCP,MQTT","Water/Wastewater,Energy & Utilities,Manufacturing,General Automation",Gold Integrator,"Water/Wastewater,Energy & Utilities,Manufacturing,General Automation","Systems Integration,PLC Programming,HMI Design","Systems Integration, PLC Programming, HMI Design, Systems Integration, PLC Programming, HMI Design",,"Failsafe Controls is a New Iberia, Louisiana-based integrator specializing in the oil and gas industry. They provide process automation solutions and HMI software integration, with a focus on delivering robust field-ready control systems.",
